Date,Total Cases,New Cases
21-Feb,35,20
28-Feb,63,28
6-Mar,319,256
13-Mar,2286,1967
20-Mar,20918,18632
27-Mar,108772,87854
3-Apr,288928,180156
10-Apr,518438,229510
17-Apr,726873,208435
24-Apr,937009,210136
1-May,1144074,207065
8-May,1335549,191475
15-May,1502907,167358
22-May,1667426,164519
29-May,1818035,150609
5-Jun,1973411,155376
12-Jun,2126519,153108
19-Jun,2308865,182346
26-Jun,2565423,256558
3-Jul,2915986,350563
10-Jul,3321991,406005
17-Jul,3802738,480747
24-Jul,4289766,487028
31-Jul,4755373,465607
7-Aug,5150714,395341
14-Aug,5534726,384012
21-Aug,5854822,320096
28-Aug,6158389,303567
4-Sep,6458887,300498
11-Sep,6712671,253784
18-Sep,7001144,288473
25-Sep,7293801,292657
2-Oct,7594771,300970
9-Oct,7934268,339497
16-Oct,8328362,394094
23-Oct,8783074,454712
30-Oct,9350881,567807
6-Nov,10066325,715444
13-Nov,11072398,1006073
20-Nov,12277945,1205547
