Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Dance Monkey,Tones And I,1931952,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,11,8,au,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
2,ROXANNE,Arizona Zervas,1807256,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo,2019,11,8,au,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
3,Circles,Post Malone,1631273,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,11,8,au,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
4,Ride It,Regard,1500710,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2019,11,8,au,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,4
5,Memories,Maroon 5,1453514,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019,11,8,au,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
6,Don't Start Now,Dua Lipa,1443361,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019,11,8,au,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
7,hot girl bummer,blackbear,1365546,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019,11,8,au,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,185093,1
8,Lose You To Love Me,Selena Gomez,1341657,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019,11,8,au,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
9,"10,000 Hours (with Justin Bieber)",Dan + Shay,1191912,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019,11,8,au,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
10,HIGHEST IN THE ROOM,Travis Scott,1157679,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019,11,8,au,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
11,Rushing Back,Flume,1072568,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY,2019,11,8,au,0.574,0.612,0,-4.741,1,0.0781,0.357,0,0.158,0.368,136.046,231663,3
12,Someone You Loved,Lewis Capaldi,1023893,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019,11,8,au,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
13,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,976334,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2019,11,8,au,0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989,204467,4
14,Never Seen the Rain,Tones And I,961002,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,2019,11,8,au,0.485,0.461,9,-5.646,1,0.0444,0.44,0,0.232,0.324,87.009,200756,4
15,Trampoline (with ZAYN),SHAED,923920,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k,2019,11,8,au,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,184280,4
16,Lose Control,MEDUZA,900195,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,2019,11,8,au,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935,168387,4
17,One Thing Right,Marshmello,887027,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,2019,11,8,au,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,181824,4
18,Follow God,Kanye West,866480,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,2019,11,8,au,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4
