Date,Total Cases,New Cases
21-Feb,19,4
28-Feb,25,6
6-Mar,63,38
13-Mar,199,136
20-Mar,928,729
27-Mar,3378,2450
3-Apr,5454,2076
10-Apr,6238,784
17-Apr,6533,295
24-Apr,6675,142
1-May,6767,92
8-May,6914,147
15-May,7019,105
22-May,7095,76
29-May,7173,78
5-Jun,7251,78
12-Jun,7290,39
19-Jun,7409,119
26-Jun,7595,186
3-Jul,8255,660
10-Jul,9359,1104
17-Jul,11235,1876
24-Jul,13595,2360
31-Jul,16905,3310
7-Aug,20272,3367
14-Aug,22743,2471
21-Aug,24407,1664
28-Aug,25448,1041
4-Sep,26136,688
11-Sep,26565,429
18-Sep,26861,296
25-Sep,27000,139
2-Oct,27113,113
9-Oct,27229,116
16-Oct,27371,142
23-Oct,27484,113
30-Oct,27582,98
6-Nov,27645,63
13-Nov,27703,58
20-Nov,27792,89
