Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Surtada - Remix Brega Funk,Dadá Boladão,4659131,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,2019,11,8,br,0.832,0.55,5,-7.026,0,0.0587,0.249,8.17e-06,0.182,0.881,154.064,152784,4
2,Some que ele vem atrás,Anitta,4042910,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5,2019,11,8,br,0.648,0.795,0,-5.536,0,0.17,0.0748,0,0.38,0.598,180.043,194771,4
3,Supera - Ao Vivo,Marília Mendonça,3909285,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2019,11,8,br,0.665,0.743,4,-4.434,1,0.0567,0.0604,0,0.959,0.658,131.573,147748,4
4,Gaiola É o Troco,MC Du Black,3823902,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH,2019,11,8,br,0.722,0.84,10,-3.24,0,0.0785,0.42,0,0.112,0.851,150.108,187246,4
5,Cheirosa - Ao Vivo,Jorge & Mateus,3475177,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2019,11,8,br,0.528,0.87,11,-3.123,1,0.0851,0.24,0,0.333,0.714,152.37,181930,4
6,Hit Contagiante - Remix,Felipe Original,3450672,https://open.spotify.com/track/5bHx1IT5vfbM067r9p0S0P,2019,11,8,br,0.823,0.692,6,-7.005,0,0.0863,0.123,0,0.0444,0.908,170.07,138182,4
7,quando a bad bater - ao vivo,Luan Santana,3330824,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ,2019,11,8,br,0.648,0.789,1,-4.767,1,0.0414,0.304,0,0.532,0.53,128.124,179722,4
8,Chama Ela (feat. Pedro Sampaio),Lexa,3325935,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ,2019,11,8,br,0.888,0.841,6,-1.933,1,0.147,0.46,9.12e-05,0.0568,0.964,149.994,120200,4
9,Tijolão - Ao Vivo,Jorge & Mateus,2945767,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2019,11,8,br,0.637,0.877,4,-3.68,0,0.198,0.469,0,0.343,0.691,118.889,175219,4
10,Ferida Curada,Zé Neto & Cristiano,2931820,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR,2019,11,8,br,0.49,0.845,2,-3.359,1,0.0973,0.49,0,0.213,0.548,146.105,159164,4
11,Contatinho - Ao Vivo,Leo Santana,2909529,https://open.spotify.com/track/4RC2nzqaQygxoVQOVv3XlT,2019,11,8,br,0.787,0.934,10,-5.136,0,0.0773,0.223,1.87e-05,0.951,0.813,152.018,173230,4
12,Lençol Dobrado,João Gustavo e Murilo,2888383,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY,2019,11,8,br,0.707,0.664,2,-5.042,1,0.0382,0.361,0,0.331,0.674,124.991,179165,4
13,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,2788141,https://open.spotify.com/track/4k20Ie47EcWtS4wMBn8w8S,2019,11,8,br,0.776,0.864,1,-4.281,1,0.0517,0.478,0,0.932,0.701,134.992,157494,4
14,Quando a vontade bater (Participação especial de PK Delas),Pk,2607837,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH,2019,11,8,br,0.621,0.7,8,-5.502,1,0.247,0.539,0,0.152,0.704,149.902,166400,4
15,Quarta Cadeira - Ao Vivo,Matheus & Kauan,2596538,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,2019,11,8,br,0.565,0.82,5,-5.031,0,0.243,0.589,0,0.621,0.604,76.471,224002,4
16,Sentou e Gostou,MC JottaPê,2537335,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr,2019,11,8,br,0.702,0.672,7,-3.308,1,0.397,0.261,0.000988,0.0916,0.722,131.453,163253,4
17,Complicado,Vitão,2456708,https://open.spotify.com/track/52vPpP2gEYaBROIS77J38P,2019,11,8,br,0.734,0.484,7,-7.486,0,0.13,0.57,0,0.224,0.499,130.05,179339,4
