Date,Total Cases,New Cases
21-Feb,0,0
28-Feb,1,0
6-Mar,13,12
13-Mar,151,138
20-Mar,970,819
27-Mar,3417,2447
3-Apr,9194,5777
10-Apr,19789,10595
17-Apr,33682,13893
24-Apr,52995,19313
1-May,92109,39114
8-May,145892,53783
15-May,218223,72331
22-May,330890,112667
29-May,468338,137448
5-Jun,646006,177668
12-Jun,829902,183896
19-Jun,1038568,208666
26-Jun,1280054,241486
3-Jul,1543341,263287
10-Jul,1804338,260997
17-Jul,2048697,244359
24-Jul,2348200,299503
31-Jul,2666298,318098
7-Aug,2967064,300766
14-Aug,3278895,311831
21-Aug,3536488,257593
28-Aug,3812605,276117
4-Sep,4091801,279196
11-Sep,4283978,192177
18-Sep,4497434,213456
25-Sep,4692579,195145
2-Oct,4882231,189652
9-Oct,5057190,174959
16-Oct,5201570,144380
23-Oct,5355650,154080
30-Oct,5519528,163878
6-Nov,5632505,112977
13-Nov,5819496,186991
20-Nov,6020164,200668
