Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Señorita,Shawn Mendes,35723233,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019,9,27,global,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
2,Dance Monkey,Tones And I,33013044,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,9,27,global,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
3,Circles,Post Malone,29280805,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,9,27,global,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
4,Someone You Loved,Lewis Capaldi,22767722,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019,9,27,global,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
5,Lalala,Y2K,22236145,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019,9,27,global,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,160627,4
6,Ransom,Lil Tecca,20825198,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,2019,9,27,global,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240,4
7,Beautiful People (feat. Khalid),Ed Sheeran,20821425,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019,9,27,global,0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,197867,4
8,China,Anuel AA,20516161,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019,9,27,global,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
9,Goodbyes (Feat. Young Thug),Post Malone,20233272,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019,9,27,global,0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,4
10,bad guy,Billie Eilish,18813436,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019,9,27,global,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
