Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Filhall,B Praak,1080171,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r,2019,11,8,in,0.525,0.659,0,-4.14,0,0.0558,0.605,0,0.134,0.586,79.911,255000,4
2,"Ghungroo (From ""War"")",Arijit Singh,878843,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44,2019,11,8,in,0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,302935,4
3,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,830811,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y,2019,11,8,in,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,249127,4
4,Memories,Maroon 5,730926,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019,11,8,in,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
5,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,627562,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,2019,11,8,in,0.427,0.396,11,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,284780,4
6,Makhna,Tanishk Bagchi,613726,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga,2019,11,8,in,0.696,0.704,1,-7.876,1,0.0423,0.167,0,0.155,0.426,124.972,183000,4
7,Señorita,Shawn Mendes,582928,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019,11,8,in,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
8,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,567030,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg,2019,11,8,in,0.56,0.512,1,-7.185,0,0.0333,0.592,0,0.056,0.39,123.991,254516,4
9,Lose You To Love Me,Selena Gomez,547545,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019,11,8,in,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
10,"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,534957,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx,2019,11,8,in,0.844,0.772,7,-4.621,1,0.194,0.284,2.38e-06,0.368,0.336,100.008,147395,4
11,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,466724,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,2019,11,8,in,0.515,0.691,5,-4.028,0,0.0344,0.624,0,0.121,0.484,169.521,226789,3
12,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,449384,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3,2019,11,8,in,0.308,0.585,9,-5.18,0,0.0428,0.45,0,0.319,0.345,171.843,371791,3
13,Trampoline (with ZAYN),SHAED,440489,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k,2019,11,8,in,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,184280,4
14,Circles,Post Malone,423709,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,11,8,in,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
15,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,415888,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi,2019,11,8,in,0.605,0.53,11,-6.346,1,0.0246,0.822,0,0.131,0.399,93.951,236437,4
16,"Thodi Jagah (From ""Marjaavaan"")",Arijit Singh,410344,https://open.spotify.com/track/3f0wz6zcA7XkQiGm0qNF5r,2019,11,8,in,0.621,0.467,0,-4.835,0,0.0273,0.632,0,0.0888,0.227,107.164,218048,4
17,Ve Maahi,Arijit Singh,409881,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF,2019,11,8,in,0.65,0.551,0,-6.906,1,0.0274,0.405,0,0.219,0.294,102.934,223999,4
18,"Duniyaa (From ""Luka Chuppi"")",Akhil,393074,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019,11,8,in,0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,222501,4
