Date,Total Cases,New Cases
21-Feb,3,0
28-Feb,3,0
6-Mar,31,28
13-Mar,82,51
20-Mar,249,167
27-Mar,887,638
3-Apr,3059,2172
10-Apr,7600,4541
17-Apr,14352,6752
24-Apr,24447,10095
1-May,37257,12810
8-May,59695,22438
15-May,85784,26089
22-May,124794,39010
29-May,173491,48697
5-Jun,236184,62693
12-Jun,309603,73419
19-Jun,395812,86209
26-Jun,509446,113634
3-Jul,649889,140443
10-Jul,822603,172714
17-Jul,1040457,217854
24-Jul,1337022,296565
31-Jul,1697054,360032
7-Aug,2086864,389810
14-Aug,2525222,438358
21-Aug,2973368,448146
28-Aug,3461240,487872
4-Sep,4020239,558999
11-Sep,4657379,637140
18-Sep,5305475,648096
25-Sep,5901571,596096
2-Oct,6471934,570363
9-Oct,6977008,505074
16-Oct,7430635,453627
23-Oct,7813668,383033
30-Oct,8136166,322498
6-Nov,8460885,324719
13-Nov,8773243,312358
20-Nov,9050613,277370
