Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,ROXANNE,Arizona Zervas,10919777,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo,2019,11,8,us,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
2,Circles,Post Malone,8572624,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,11,8,us,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
3,HIGHEST IN THE ROOM,Travis Scott,8480933,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2019,11,8,us,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
4,Bandit (with YoungBoy Never Broke Again),Juice WRLD,7778890,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2019,11,8,us,0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,189323,4
5,Lose You To Love Me,Selena Gomez,7090786,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2019,11,8,us,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
6,Someone You Loved,Lewis Capaldi,6058702,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019,11,8,us,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
7,223's (feat. 9lokknine),YNW Melly,5924869,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI,2019,11,8,us,0.932,0.547,0,-7.787,0,0.333,0.0388,0,0.0924,0.695,94.998,176640,4
8,hot girl bummer,blackbear,5809764,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2019,11,8,us,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,185093,1
9,Stuck In A Dream (feat. Gunna),Lil Mosey,5689981,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,2019,11,8,us,0.748,0.648,10,-6.445,0,0.0816,0.484,0,0.126,0.726,139.952,123560,4
10,Memories,Maroon 5,5660271,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019,11,8,us,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
11,Woah,Lil Baby,5216559,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,2019,11,8,us,0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,142.959,183011,4
12,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,5214711,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de,2019,11,8,us,0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,279907,4
13,Follow God,Kanye West,5111357,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,2019,11,8,us,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4
14,Dance Monkey,Tones And I,4930018,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,11,8,us,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
15,Camelot,NLE Choppa,4900212,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF,2019,11,8,us,0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,148759,4
16,Don't Start Now,Dua Lipa,4860747,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2019,11,8,us,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
17,"10,000 Hours (with Justin Bieber)",Dan + Shay,4746933,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2019,11,8,us,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4630403,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019,11,8,us,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4
19,Ransom,Lil Tecca,4570634,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2019,11,8,us,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,131240,4
20,Yellow Hearts,Ant Saunders,4207985,https://open.spotify.com/track/20JtELGPfOAMq7FpUt8eSM,2019,11,8,us,0.866,0.399,7,-10.938,1,0.0745,0.117,0,0.0689,0.713,129.047,223256,4
21,No Guidance (feat. Drake),Chris Brown,4166841,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2019,11,8,us,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,260640,4
22,Goodbyes (Feat. Young Thug),Post Malone,4096818,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2019,11,8,us,0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,4
23,VIBEZ,DaBaby,4095624,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,2019,11,8,us,0.768,0.652,1,-2.708,0,0.307,0.113,0,0.107,0.777,154.187,144935,4
24,Truth Hurts,Lizzo,4045652,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019,11,8,us,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325,4
